,workflowId,time0,coldState_groupId,coldState_fixedStartTime
17,wflow_sbm_meuse_20210730,23/08/2022 00:00:00,,
18,wflow_sbm_meuse_20210730,28/08/2022 00:00:00,,
19,wflow_sbm_meuse_20210730,02/09/2022 00:00:00,,
20,wflow_sbm_meuse_20210730,07/09/2022 00:00:00,,
21,wflow_sbm_meuse_20210730,12/09/2022 00:00:00,,
22,wflow_sbm_meuse_20210730,17/09/2022 00:00:00,,
0,wflow_sbm_niger_20190725,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_niger_20190725,04/06/2022 00:00:00,,
2,wflow_sbm_niger_20190725,09/06/2022 00:00:00,,
3,wflow_sbm_niger_20190725,14/06/2022 00:00:00,,
4,wflow_sbm_niger_20190725,19/06/2022 00:00:00,,
5,wflow_sbm_niger_20190725,24/06/2022 00:00:00,,
6,wflow_sbm_niger_20190725,29/06/2022 00:00:00,,
7,wflow_sbm_niger_20190725,04/07/2022 00:00:00,,
8,wflow_sbm_niger_20190725,09/07/2022 00:00:00,,
9,wflow_sbm_niger_20190725,14/07/2022 00:00:00,,
10,wflow_sbm_niger_20190725,19/07/2022 00:00:00,,
11,wflow_sbm_niger_20190725,24/07/2022 00:00:00,,
12,wflow_sbm_niger_20190725,29/07/2022 00:00:00,,
13,wflow_sbm_niger_20190725,03/08/2022 00:00:00,,
14,wflow_sbm_niger_20190725,08/08/2022 00:00:00,,
15,wflow_sbm_niger_20190725,13/08/2022 00:00:00,,
16,wflow_sbm_niger_20190725,18/08/2022 00:00:00,,
17,wflow_sbm_niger_20190725,23/08/2022 00:00:00,,
18,wflow_sbm_niger_20190725,28/08/2022 00:00:00,,
19,wflow_sbm_niger_20190725,02/09/2022 00:00:00,,
20,wflow_sbm_niger_20190725,07/09/2022 00:00:00,,
21,wflow_sbm_niger_20190725,12/09/2022 00:00:00,,
22,wflow_sbm_niger_20190725,17/09/2022 00:00:00,,
0,wflow_sbm_parana_20210501,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_parana_20210501,04/06/2022 00:00:00,,
2,wflow_sbm_parana_20210501,09/06/2022 00:00:00,,
3,wflow_sbm_parana_20210501,14/06/2022 00:00:00,,
4,wflow_sbm_parana_20210501,19/06/2022 00:00:00,,
5,wflow_sbm_parana_20210501,24/06/2022 00:00:00,,
6,wflow_sbm_parana_20210501,29/06/2022 00:00:00,,
7,wflow_sbm_parana_20210501,04/07/2022 00:00:00,,
8,wflow_sbm_parana_20210501,09/07/2022 00:00:00,,
9,wflow_sbm_parana_20210501,14/07/2022 00:00:00,,
10,wflow_sbm_parana_20210501,19/07/2022 00:00:00,,
11,wflow_sbm_parana_20210501,24/07/2022 00:00:00,,
12,wflow_sbm_parana_20210501,29/07/2022 00:00:00,,
13,wflow_sbm_parana_20210501,03/08/2022 00:00:00,,
14,wflow_sbm_parana_20210501,08/08/2022 00:00:00,,
15,wflow_sbm_parana_20210501,13/08/2022 00:00:00,,
16,wflow_sbm_parana_20210501,18/08/2022 00:00:00,,
17,wflow_sbm_parana_20210501,23/08/2022 00:00:00,,
18,wflow_sbm_parana_20210501,28/08/2022 00:00:00,,
19,wflow_sbm_parana_20210501,02/09/2022 00:00:00,,
20,wflow_sbm_parana_20210501,07/09/2022 00:00:00,,
21,wflow_sbm_parana_20210501,12/09/2022 00:00:00,,
22,wflow_sbm_parana_20210501,17/09/2022 00:00:00,,
0,wflow_sbm_rhine_20210101,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_rhine_20210101,04/06/2022 00:00:00,,
2,wflow_sbm_rhine_20210101,09/06/2022 00:00:00,,
3,wflow_sbm_rhine_20210101,14/06/2022 00:00:00,,
4,wflow_sbm_rhine_20210101,19/06/2022 00:00:00,,
5,wflow_sbm_rhine_20210101,24/06/2022 00:00:00,,
6,wflow_sbm_rhine_20210101,29/06/2022 00:00:00,,
7,wflow_sbm_rhine_20210101,04/07/2022 00:00:00,,
8,wflow_sbm_rhine_20210101,09/07/2022 00:00:00,,
9,wflow_sbm_rhine_20210101,14/07/2022 00:00:00,,
10,wflow_sbm_rhine_20210101,19/07/2022 00:00:00,,
11,wflow_sbm_rhine_20210101,24/07/2022 00:00:00,,
12,wflow_sbm_rhine_20210101,29/07/2022 00:00:00,,
13,wflow_sbm_rhine_20210101,03/08/2022 00:00:00,,
14,wflow_sbm_rhine_20210101,08/08/2022 00:00:00,,
15,wflow_sbm_rhine_20210101,13/08/2022 00:00:00,,
16,wflow_sbm_rhine_20210101,18/08/2022 00:00:00,,
17,wflow_sbm_rhine_20210101,23/08/2022 00:00:00,,
18,wflow_sbm_rhine_20210101,28/08/2022 00:00:00,,
19,wflow_sbm_rhine_20210101,02/09/2022 00:00:00,,
20,wflow_sbm_rhine_20210101,07/09/2022 00:00:00,,
21,wflow_sbm_rhine_20210101,12/09/2022 00:00:00,,
22,wflow_sbm_rhine_20210101,17/09/2022 00:00:00,,
0,wflow_sbm_sava_20200720,30/05/2022 00:00:00,20220525.0,25/05/2022 00:00:00
1,wflow_sbm_sava_20200720,04/06/2022 00:00:00,,
2,wflow_sbm_sava_20200720,09/06/2022 00:00:00,,
3,wflow_sbm_sava_20200720,14/06/2022 00:00:00,,
4,wflow_sbm_sava_20200720,19/06/2022 00:00:00,,
5,wflow_sbm_sava_20200720,24/06/2022 00:00:00,,
6,wflow_sbm_sava_20200720,29/06/2022 00:00:00,,
7,wflow_sbm_sava_20200720,04/07/2022 00:00:00,,
8,wflow_sbm_sava_20200720,09/07/2022 00:00:00,,
9,wflow_sbm_sava_20200720,14/07/2022 00:00:00,,
10,wflow_sbm_sava_20200720,19/07/2022 00:00:00,,
11,wflow_sbm_sava_20200720,24/07/2022 00:00:00,,
12,wflow_sbm_sava_20200720,29/07/2022 00:00:00,,
13,wflow_sbm_sava_20200720,03/08/2022 00:00:00,,
14,wflow_sbm_sava_20200720,08/08/2022 00:00:00,,
15,wflow_sbm_sava_20200720,13/08/2022 00:00:00,,
16,wflow_sbm_sava_20200720,18/08/2022 00:00:00,,
